Stat_ID,MONLOC_AB,DataLoggerLineName,Stat_DATE,ActivityIdentifier,ActivityMediaName,CharacteristicName,StatMEASURE,ResultMeasureUnitCode,DataType,UseForCalc,StatisticalBaseCode,TimeBasisName,NumResults,COMMENTS,CreatedDateTime,LastChangeDate,ActivityInTWQD
000089AA-1B1E-43A7-9A51-10D3337EDF75,WILLOBTH1,21119023,10/6/2022,WILLOBTH1_20221006_2022Sum_TS,Water,"Temperature, water",12.803,deg C,Calculated,1,Daily Minimum,1 Day,58,NULL,09:13.7,24:59.6,NULL
0004488E-633C-42D9-9B7F-7C54C6E7F369,PINSTH1,20386532,6/16/2021,PINSTH1_20210616_2021Sum_TS,Water,"Temperature, water",12.437,deg C,Calculated,1,Daily Maximum,1 Day,96,NULL,32:58.3,24:59.6,42:31.2
0004BEDD-5AC2-4506-A19A-7F86662491BF,WINFLDTH2,20651384,1/31/2022,WINFLDTH2_20220131_2021Fall_TS,Water,"Temperature, water",5.16773,deg C,Calculated,1,Mean,1 Day,96,NULL,08:54.5,24:59.6,NULL
0006DF17-0EBD-40B2-9D9C-522260997EB9,SFHOTH1,21337380,7/13/2022,SFHOTH1_20220713_2022Sum_TS,Water,"Temperature, water",8.941,deg C,Calculated,1,Daily Minimum,1 Day,96,NULL,09:13.7,24:59.6,NULL
00080025-FB36-4E32-BED0-FA2AA0E6B8B8,MOSQUITTH1,21119085,6/28/2022,MOSQUITTH1_20220628_2022Sum_TS,Water,"Temperature, water",12.8888,deg C,Calculated,1,Daily Minimum,1 Day,96,NULL,09:13.7,24:59.6,NULL
00090D73-097E-40AE-831F-F0245104C402,JACKTH1,21119079,8/12/2021,JACKTH1_20210812_2021Sum_TS,Water,"Temperature, water",14.7998,deg C,Calculated,1,Mean,1 Day,96,NULL,32:51.8,24:59.6,42:31.2
0009B20B-9523-4621-9B96-8ECA241228E5,WINFLDTH2,20651384,8/5/2021,WINFLDTH2_20210805_2021Sum_TS,Water,"Temperature, water",15.5394,deg C,Calculated,1,7DADM,7 Day,7,NULL,33:14.0,21:52.7,42:31.2
000AA7CC-1A69-4B8C-A378-55763205F30F,ALDERTH1,20386553,9/29/2022,ALDERTH1_20220929_2022Sum_TS,Water,"Temperature, water",12.3283,deg C,Calculated,1,Mean,1 Day,41,NULL,08:54.5,24:59.6,NULL
000B5514-403A-4564-A4F1-82BA150B5B4F,FLETCHTH2,10560281,7/26/2021,FLETCHTH2_20210726_2021Sum_TS,Water,"Temperature, water",12.823,deg C,Calculated,1,Daily Minimum,1 Day,24,NULL,33:06.0,24:59.6,42:31.2
000C0A73-C166-4055-B9AD-77939326A4C5,CANYOTH1,10699480,10/4/2021,CANYOTH1_20211004_2021Sum_TS,Water,"Temperature, water",10.222,deg C,Calculated,1,Daily Minimum,1 Day,96,NULL,33:06.0,24:59.6,42:31.2
000C65A6-3F7A-437F-A166-5250472D8D77,WPOLETH1,21337441,6/12/2022,WPOLETH1_20220612_2022Sum_TS,Water,"Temperature, water",9.805,deg C,Calculated,1,Daily Maximum,1 Day,96,NULL,09:04.6,24:59.6,NULL
000CAC55-7170-4B32-A423-7DCF42702E91,COTTOTH1,10699494,6/28/2021,COTTOTH1_20210628_2021Sum_TS,Water,"Temperature, water",14.96,deg C,Calculated,1,Daily Maximum,1 Day,96,NULL,32:58.3,24:59.6,42:31.2
000CC4F2-E952-401B-9D42-0F156FB16501,WTWINTH1,20386534,9/27/2021,WTWINTH1_20210927_2021Sum_TS,Water,"Temperature, water",10.1511,deg C,Calculated,1,7DADM,7 Day,7,NULL,33:14.0,21:52.7,42:31.2
000D10BD-866E-472F-85B7-D9A49F65DD38,CHALATH2,21119057,11/14/2021,CHALATH2_20211114_2021Fall_TS,Water,"Temperature, water",10.114,deg C,Calculated,1,Mean,1 Day,96,NULL,08:54.5,24:59.6,NULL
000D26D8-2155-4E19-919C-AD0AE94EC58A,GOODTH2,21119081,9/30/2021,GOODTH2_20210930_2021Sum_TS,Water,"Temperature, water",11.7167,deg C,Calculated,1,7DADM,7 Day,7,NULL,33:14.0,21:52.7,42:31.2
000FA107-1CCA-4104-AC1B-2FB030BF09AB,CHALATH2,21119057,9/14/2021,CHALATH2_20210914_2021Sum_TS,Water,"Temperature, water",13.2641,deg C,Calculated,1,Mean,1 Day,96,NULL,32:51.8,24:59.6,42:31.2
000FB32E-B794-4EF4-BA9D-9F611938CB89,MCQUARYTH1,10699488,8/1/2021,MCQUARYTH1_20210801_2021Sum_TS,Water,"Temperature, water",17.2417,deg C,Calculated,1,7DADM,7 Day,7,NULL,33:14.0,21:52.7,42:31.2
0010AF59-B2C8-4140-8B82-2B9D7EF5EC59,MAPLETH2,20386529,8/25/2021,MAPLETH2_20210825_2021Sum_TS,Water,"Temperature, water",13.535,deg C,Calculated,1,7DADM,7 Day,7,NULL,33:14.0,21:52.7,42:31.2
00114A59-FFB0-4805-808C-32AF8BE6F188,NOLANTH2,21119062,8/7/2021,NOLANTH2_20210807_2021Sum_TS,Water,"Temperature, water",15.9818,deg C,Calculated,1,Mean,1 Day,96,NULL,32:51.8,24:59.6,42:31.2
00115EA3-0C32-4517-971F-1AD5FDAFC765,MAPLETH2,20386531,6/19/2022,MAPLETH2_20220619_2022Sum_TS,Water,"Temperature, water",9.657,deg C,Calculated,1,Daily Maximum,1 Day,96,NULL,09:04.6,24:59.6,NULL
0012240E-513A-4686-BE34-532287014A4B,HOHTH3,21119021,7/31/2022,HOHTH3_20220731_2022Sum_TS,Water,"Temperature, water",21.2329,deg C,Calculated,1,Daily Maximum,1 Day,96,NULL,09:04.6,24:59.6,NULL
0013CAD1-0FBE-47C7-B53F-6A42C16C09FB,CRIPPTH1,20651387,6/1/2021,CRIPPTH1_20210601_2021Sum_TS,Water,"Temperature, water",9.0482,deg C,Calculated,1,Mean,1 Day,96,NULL,32:51.8,24:59.6,42:31.2
0013CF64-7772-43F4-ABD6-48C34EA17A4E,TAFTTH1,20386544,8/17/2021,TAFTTH1_20210817_2021Sum_TS,Water,"Temperature, water",10.98,deg C,Calculated,1,Daily Minimum,1 Day,96,NULL,33:06.0,24:59.6,42:31.2
001473EF-C0D8-4635-A822-D41180399F2F,LINETH1,20651389,6/10/2021,LINETH1_20210610_2021Sum_TS,Water,"Temperature, water",9.55329,deg C,Calculated,1,7DADM,7 Day,7,NULL,33:14.0,21:52.7,42:31.2
0015460B-5699-4DD4-99FA-07B34026D82C,EFKALTH1,21119060,11/16/2021,EFKALTH1_20211116_2021Fall_TS,Water,"Temperature, water",9.41081,deg C,Calculated,1,7DADM,7 Day,7,NULL,24:57.9,24:57.9,NULL
00177B61-3C62-4F07-88C9-3E1FECAE8124,HOHTH4,21337445,8/17/2022,HOHTH4_20220817_2022Sum_TS,Water,"Temperature, water",10.394,deg C,Calculated,1,Daily Minimum,1 Day,96,NULL,09:13.7,24:59.6,NULL
0017867F-BA4F-4C91-A273-938916060C54,COTTOTH1,10699494,5/16/2022,COTTOTH1_20220516_2022Sum_TS,Water,"Temperature, water",8.693,deg C,Calculated,1,Daily Minimum,1 Day,96,NULL,09:13.7,24:59.6,NULL
0019002A-87EC-4134-8EEA-C6117E14C167,TAFTTH1,20386544,7/7/2021,TAFTTH1_20210707_2021Sum_TS,Water,"Temperature, water",11.0011,deg C,Calculated,1,7DADM,7 Day,7,NULL,33:14.0,21:52.7,42:31.2
001945FD-E10C-45F7-A618-48432C860F33,WINFLDTH2,20651384,11/8/2021,WINFLDTH2_20211108_2021Fall_TS,Water,"Temperature, water",7.88017,deg C,Calculated,1,Daily Minimum,1 Day,96,NULL,09:13.7,24:59.6,NULL
001A8AE5-73B9-4C63-9ED2-DA3D3B539DB5,NFWINFDTH1,21119068,10/22/2021,NFWINFDTH1_20211022_2021Fall_TS,Water,"Temperature, water",9.91794,deg C,Calculated,1,Daily Minimum,1 Day,96,NULL,09:13.7,24:59.6,NULL
001B12C8-E2AF-4061-AF93-D0FCA5ECFF81,MCQUARYTH1,10699488,8/29/2022,MCQUARYTH1_20220829_2022Sum_TS,Water,"Temperature, water",16.1687,deg C,Calculated,1,7DADM,7 Day,7,NULL,24:57.9,24:57.9,NULL
001C55C0-A8C3-45D8-8BEC-1CEF17965C99,NOLANTH1,10694014,9/18/2022,NOLANTH1_20220918_2022Sum_TS,Water,"Temperature, water",15.867,deg C,Calculated,1,Daily Maximum,1 Day,96,NULL,09:04.6,24:59.6,NULL
001C58D0-F4E0-43A8-B7D5-67B7908DABDF,JACKTH1,21119019,7/30/2022,JACKTH1_20220730_2022Sum_TS,Water,"Temperature, water",14.6891,deg C,Calculated,1,7DADM,7 Day,7,NULL,24:57.9,24:57.9,NULL
001C6722-904E-4D18-B016-4B439A943D5A,WILLOBTH1,21119077,3/12/2022,WILLOBTH1_20220312_2021Fall_TS,Water,"Temperature, water",6.19365,deg C,Calculated,1,Mean,1 Day,96,NULL,08:54.5,24:59.6,NULL
001CB07B-DA94-44AC-ABA7-5476CE430FE7,GOODTH2,21119081,7/6/2021,GOODTH2_20210706_2021Sum_TS,Water,"Temperature, water",14.637,deg C,Calculated,1,Daily Maximum,1 Day,95,NULL,32:58.3,24:59.6,42:31.2
001D0CCA-C55E-41A3-80BC-0CAB4DC3DC36,NFWINFDTH1,21119037,9/27/2022,NFWINFDTH1_20220927_2022Sum_TS,Water,"Temperature, water",11.6661,deg C,Calculated,1,Daily Minimum,1 Day,96,NULL,09:13.7,24:59.6,NULL
